X,Y,Z
0.000776,0.004015,0.029408
0.002801,0.005389,0.016813
0.010351,0.002111,0.010318
0.010303,0.001263,0.022523
0.010652,-0.000283,0.020765
0.002347,0.001252,0.015778
0.003027,0.011269,-0.006197
0.003687,0.023809,-0.003771
-0.001853,0.020641,0.024458
-0.001141,0.003821,0.028742
0.008853,-0.013878,0.009954
0.016508,-0.015151,0.013166
0.021799,-0.00996,0.032691
0.004108,-0.003747,0.018191
-0.00076,0.013996,0.018622
-0.01546,0.00833,0.0279
0.002181,0.003226,0.030206
-0.009845,0.008125,0.028096
-0.015359,0.003939,0.04581
-0.01512,-0.00502,0.042198
-0.015328,-0.012301,0.028989
-0.018593,-0.000795,0.032817
-0.014415,-0.002157,0.039764
-0.011994,0.000078,0.043411
-0.003255,-0.001995,0.016674
-0.011263,-0.001085,0.024178
-0.006256,-0.000684,0.018985
-0.006475,0.000647,0.029457
-0.004481,0.007077,0.02793
-0.000313,0.010768,0.013747
0.007949,-0.002186,0.001811
0.008921,0.000131,-0.00097
0.010754,-0.007251,0.00356
0.017349,-0.03083,-0.014113
0.017966,-0.014587,0.00186
0.009906,-0.008873,0.007042
0.003686,-0.002814,-0.005693
0.004743,-0.006011,-0.017679
0.001596,-0.001019,0.006292
-0.006548,0.00236,-0.000792
0.006941,0.002688,-0.026983
0.010188,-0.001986,-0.015557
0.00382,-0.002027,0.008021
0.001986,0.005683,-0.010154
0.008918,0.009327,-0.015082
0.012529,0.007812,-0.027459
0.014458,0.004566,-0.032509
0.004923,0.008038,-0.001119
0.00638,0.008687,-0.010288
0.009096,0.010249,-0.024167
0.007353,0.003899,-0.00693
0.011136,0.000186,-0.008389
0.024416,-0.006569,-0.03898
0.023527,-0.007196,-0.030214
0.009175,-0.004743,-0.00279
0.004711,0.000753,-0.00261
0.006943,0.003261,-0.014969
0.008297,-0.001681,-0.019687
0.00674,-0.001971,-0.013831
0.006374,-0.002624,-0.012743
-0.000967,-0.000331,0.006097
-0.012457,0.0026,0.012238
-0.012518,0.006844,0.011266
-0.009545,-0.000078,0.00086
-0.009465,0.001142,0.002556
-0.013174,0.001631,0.010475
-0.015909,0.001121,0.013844
-0.014811,0.001297,0.015171
-0.007274,-0.001287,0.008092
-0.002957,-0.000686,0.001545
-0.003842,-0.001666,0.00467
-0.007456,-0.002565,0.013331
-0.012417,-0.000199,0.018599
-0.013467,-0.001939,0.013146
-0.011424,-0.001714,0.010384
-0.01548,-0.001196,0.011057
-0.023043,0.000445,0.011099
-0.025456,-0.000255,0.020003
-0.025454,-0.001906,0.022387
-0.024787,-0.000062,0.017177
-0.028379,0.002599,0.013122
-0.033951,0.00327,0.018537
-0.040128,0.006577,0.015265
-0.042101,0.004556,0.021811
-0.050042,0.003466,0.024354
-0.05268,0.004048,0.024805
-0.049257,0.002833,0.019199
-0.045826,0.000715,0.013993
